AUTO_REPAIR,CARPARK,CEMETERY,CHURCH,FACTORY,FIRE_STATION,HOSPITAL,JUNKYARD,LIBRARY,MALL,MONUMENT,MUSEUM,NECROTECH_LAB,NIGHTCLUB,PARK,POLICE_DEPARTMENT,PUB,SCHOOL,STREET,WAREHOUSE
Dinsdale Auto Repair,,,Messiah's House Church,Dynamic Gear Systems,,Riverstone General Hospital,Clearpath Wrecking Yard,Bright Meadows Library,Diamond Ridge Mall,,,,Liquid Pulse,,,The Half Pint Tavern,Crestview Preparatory School,Meadowview Avenue,Silver Valley Distribution Hub
Dinwoodie Auto Repair,,,Holy Spirit Cathedral,Fastlane Production Plant,,Summit Ridge Medical Pavilion,Evergreen Junk Services,Riverside Reading Room,Highland Mall,,,,Bass Abyss,,,The Merry Monk,Riverstone High School,Mountain Ridge Boulevard,Greenfield Supply Warehouse
Dobin Auto Repair,,,Zion of Peace Church,Mountainview Machining Co.,,Brightstone Health Center,Crimson Ridge Salvage,Garden Grove Library,Skyview Plaza Mall,,,,The Beat District,,,The Old Toad Tavern,Valley Grove Academy,,Valley Ridge Goods Depot
Doble Auto Repair,,,Shepherd's Fold Chapel,Advanced Assembly Solutions,,Clearpath Memorial Hospital,Wildfire Wreckers,Quiet Pines Library,Suncrest Mall,,,,Moonlight Bass,,,The Forgotten Barrel,Oak Hill Preparatory School,,Blue Ridge Logistics Center
Dodington Auto Repair,,,The Lord’s Table Church,Midnight Forge Co.,,Whispering Pines Health Facility,Coastal Edge Scrap Yard,Sunset Ridge Library,Tranquil Grove Mall,,,,Skyline Dancehall,,,The Thirsty Whistle,Meadowcrest High School,,Whispering Pines Warehouse
Drury Auto Repair,,,Calvary Baptist Church,Union Industrial Works,,Harmony Ridge Medical Center,Heritage Salvage Depot,Fountain Hills Library,Meadowcrest Plaza,,,,Twilight Lounge,,,The Gilded Swan,The Oakwood Academy,,Redwood Valley Storage Hub
Duggan Auto Repair,,,Harvest Time Ministries,EdgeTech Fabricators,,Evergreen Health Pavilion,,Starlight Grove Library,Seaview Shopping Center,,,,Shattered Beats,,,The Rusty Boat Tavern,Pine Hills Secondary School,,Horizon Oaks Distribution Center
Edkins Auto Repair,,,Wellspring Worship Center,SolarTech Manufacturing,,Phoenix Point Medical Facility,,,,,,,Radiance Groove,,,The Broken Lantern,Highpoint Academy,,Timber Ridge Goods Warehouse
Edridge Auto Repair,,,Living Rock Church,Crestline Machining Plant,,Trailblazer Community Clinic,,,,,,,Pulse Odyssey,,,The Midnight Tap,Whispering Pines High School,,Mountain Stream Storage
Elers Auto Repair,,,Heaven's Gate Fellowship,Highpoint Industries,,Serenity Heights General Hospital,,,,,,,Hyperlight Lounge,,,The Happy Wanderer,Legacy Ridge Academy,,The Vault Distribution Hub
Elston Auto Repair,,,Good News Ministries,Steelwave Manufacturing Co.,,Grand Horizon Medical Center,,,,,,,,,,The Foxhole Pub,Silver Valley Preparatory School,,Cedar Ridge Goods Depot
Elvins Auto Repair,,,Spirit of Grace Church,Trailblazer Assembly Works,,Twilight Health Pavilion,,,,,,,,,,The Silver Pint,Maple Grove High School,,Golden Ridge Warehouse
Esgar Auto Repair,,,New Life Christian Fellowship,Thunder Forge Industries,,Crystal Waters General Hospital,,,,,,,,,,The Sandbar Tavern,Bluebell Academy,,Crystal Grove Logistics Center
Evershed Auto Repair,,,,Quantum Engineering Plant,,Heartland Medical Facility,,,,,,,,,,The Sailor’s Rest,Canyon View School,,Ironwood Distribution Warehouse
Ewer Auto Repair,,,,Echo Valley Fabrication,,,,,,,,,,,,The Quiet Cove Pub,River Birch Academy,,Blue Oak Storage Facility
Fackerell Auto Repair,,,,Velocity Manufacturing Hub,,,,,,,,,,,,The Salted Kettle,Spring Creek Preparatory School,,Oak Hollow Logistics Hub
Finnerty Auto Repair (Miltown),,,,Ironforge Technologies,,,,,,,,,,,,The Poured Pint,Tranquil Waters High School,,Riverstone Supply Depot
Finnerty Auto Repair (Shackleville),,,,Copper Ridge Foundry,,,,,,,,,,,,The Wild Goose Pub,Summit Oaks Academy,,Summit Springs Storage
Fitkin Auto Repair,,,,StarTech Assembly Co.,,,,,,,,,,,,The Lucky Leprechaun,Lakeside Preparatory School,,Meadowstone Goods Warehouse
Foxwell Auto Repair,,,,Central Valley Machining,,,,,,,,,,,,The Roaring Fire Pub,Crystal Lake Academy,,Crescent Ridge Logistics Center
Freeth Auto Repair,,,,Frontier Forge Solutions,,,,,,,,,,,,The Wandering Toad,Greenfield High School,,Timbercrest Distribution Warehouse
Frye Auto Repair,,,,Brightforge Industries,,,,,,,,,,,,,Horizon Meadows Academy,,Evergreen Valley Supply Hub
Furber Auto Repair,,,,Pioneer Fabrication Co.,,,,,,,,,,,,,Pine Valley Secondary School,,Lakeshore Goods Depot
Gamis Auto Repair,,,,Coastal Ridge Manufacturing,,,,,,,,,,,,,Twilight Ridge Academy,,Sunrise Ridge Warehouse
Gannett Auto Repair,,,,Northern Edge Foundry,,,,,,,,,,,,,Summit View High School,,Silver Oak Distribution Center
Gaywood Auto Repair,,,,Titan Gear Systems,,,,,,,,,,,,,Oak Ridge Academy,,Pine Valley Logistics Hub
Gendrault Auto Repair,,,,Greenstone Fabricators,,,,,,,,,,,,,Golden Pine High School,,
Genin Auto Repair,,,,Elevate Industries Plant,,,,,,,,,,,,,Crestwood Academy,,
Gomm Auto Repair,,,,Summit Gear Co.,,,,,,,,,,,,,Blue Ridge Preparatory School,,
Gower Auto Repair,,,,Glacier Works Machining,,,,,,,,,,,,,Tranquil Meadows Academy,,
Grannum Auto Repair,,,,,,,,,,,,,,,,,Riverbend Academy,,
Ha Auto Repair,,,,,,,,,,,,,,,,,Mountainview Preparatory School,,
Hagger Auto Repair,,,,,,,,,,,,,,,,,,,
Haine Auto Repair,,,,,,,,,,,,,,,,,,,
Hallifax Auto Repair,,,,,,,,,,,,,,,,,,,
Halsey Auto Repair,,,,,,,,,,,,,,,,,,,
Hamlen Auto Repair,,,,,,,,,,,,,,,,,,,
Hanney Auto Repair,,,,,,,,,,,,,,,,,,,
Hardisty Auto Repair,,,,,,,,,,,,,,,,,,,
Harkness Auto Repair,,,,,,,,,,,,,,,,,,,
Hayce Auto Repair (Crooketon),,,,,,,,,,,,,,,,,,,
Hayce Auto Repair (North Blythville),,,,,,,,,,,,,,,,,,,
Haydon Auto Repair,,,,,,,,,,,,,,,,,,,
Hebden Auto Repair,,,,,,,,,,,,,,,,,,,
Heckworthy Auto Repair,,,,,,,,,,,,,,,,,,,
Hemmings Auto Repair,,,,,,,,,,,,,,,,,,,
Hemore Auto Repair (Havercroft),,,,,,,,,,,,,,,,,,,
Hemore Auto Repair (Shackleville),,,,,,,,,,,,,,,,,,,
Hersant Auto Repair,,,,,,,,,,,,,,,,,,,
Hickling Auto Repair,,,,,,,,,,,,,,,,,,,
Hinkes Auto Repair,,,,,,,,,,,,,,,,,,,
Holloms Auto Repair,,,,,,,,,,,,,,,,,,,
Holmyard Auto Repair,,,,,,,,,,,,,,,,,,,
Hooke Auto Repair,,,,,,,,,,,,,,,,,,,
Horditch Auto Repair,,,,,,,,,,,,,,,,,,,
House Auto Repair,,,,,,,,,,,,,,,,,,,
Howard Auto Repair,,,,,,,,,,,,,,,,,,,
Jeffries Auto Repair,,,,,,,,,,,,,,,,,,,
Jervis Auto Repair,,,,,,,,,,,,,,,,,,,
Jukes Auto Repair,,,,,,,,,,,,,,,,,,,
Kebby Auto Repair,,,,,,,,,,,,,,,,,,,
Kempe Auto Repair,,,,,,,,,,,,,,,,,,,
Kempster Auto Repair,,,,,,,,,,,,,,,,,,,
Kerswill Auto Repair,,,,,,,,,,,,,,,,,,,
Kirby Auto Repair,,,,,,,,,,,,,,,,,,,
Krinks Auto Repair,,,,,,,,,,,,,,,,,,,
Lahey Auto Repair,,,,,,,,,,,,,,,,,,,
Lasbury Auto Repair,,,,,,,,,,,,,,,,,,,
Lawrence Auto Repair,,,,,,,,,,,,,,,,,,,
Ledward Auto Repair,,,,,,,,,,,,,,,,,,,
Lewyes Auto Repair,,,,,,,,,,,,,,,,,,,
Lihou Auto Repair,,,,,,,,,,,,,,,,,,,
Liminton Auto Repair,,,,,,,,,,,,,,,,,,,
Loveiband Auto Repair,,,,,,,,,,,,,,,,,,,
Lovell Auto Repair,,,,,,,,,,,,,,,,,,,
Ludlow Auto Repair,,,,,,,,,,,,,,,,,,,
Lukins Auto Repair,,,,,,,,,,,,,,,,,,,
Lush Auto Repair,,,,,,,,,,,,,,,,,,,
Lynewraye Auto Repair,,,,,,,,,,,,,,,,,,,
Mack Auto Repair,,,,,,,,,,,,,,,,,,,
Maiden Auto Repair,,,,,,,,,,,,,,,,,,,
Mainstone Auto Repair,,,,,,,,,,,,,,,,,,,
Marchia Auto Repair,,,,,,,,,,,,,,,,,,,
Mare Auto Repair,,,,,,,,,,,,,,,,,,,
Marshfield Auto Repair,,,,,,,,,,,,,,,,,,,
Marston Auto Repair,,,,,,,,,,,,,,,,,,,
Masey Auto Repair,,,,,,,,,,,,,,,,,,,
Meany Auto Repair,,,,,,,,,,,,,,,,,,,
Mear Auto Repair,,,,,,,,,,,,,,,,,,,
Mears Auto Repair,,,,,,,,,,,,,,,,,,,
Milard Auto Repair,,,,,,,,,,,,,,,,,,,
Monck Auto Repair,,,,,,,,,,,,,,,,,,,
Morgane Auto Repair,,,,,,,,,,,,,,,,,,,
Mudford Auto Repair,,,,,,,,,,,,,,,,,,,
Naisbitt Auto Repair,,,,,,,,,,,,,,,,,,,
Neave Auto Repair,,,,,,,,,,,,,,,,,,,
New Auto Repair,,,,,,,,,,,,,,,,,,,
Nott Auto Repair,,,,,,,,,,,,,,,,,,,
Nulty Auto Repair,,,,,,,,,,,,,,,,,,,
Nuttycombe Auto Repair,,,,,,,,,,,,,,,,,,,
Paget Auto Repair,,,,,,,,,,,,,,,,,,,
Paterson Auto Repair,,,,,,,,,,,,,,,,,,,
Pellatt Auto Repair,,,,,,,,,,,,,,,,,,,
User:Peralta/TestLoc1,,,,,,,,,,,,,,,,,,,
Peryer Auto Repair,,,,,,,,,,,,,,,,,,,
Peterson Auto Repair,,,,,,,,,,,,,,,,,,,
Pillinger Auto Repair,,,,,,,,,,,,,,,,,,,
Pippen Auto Repair,,,,,,,,,,,,,,,,,,,
Ponder Auto Repair,,,,,,,,,,,,,,,,,,,
Popham Auto Repair,,,,,,,,,,,,,,,,,,,
Porcher Auto Repair,,,,,,,,,,,,,,,,,,,
Pring Auto Repair,,,,,,,,,,,,,,,,,,,
Pullinger Auto Repair (Crowbank),,,,,,,,,,,,,,,,,,,
Pullinger Auto Repair (Earletown),,,,,,,,,,,,,,,,,,,
Purchas Auto Repair,,,,,,,,,,,,,,,,,,,
Pyke Auto Repair,,,,,,,,,,,,,,,,,,,
Pyncombes Auto Repair,,,,,,,,,,,,,,,,,,,
Ramsey Auto Repair,,,,,,,,,,,,,,,,,,,
Rason Auto Repair,,,,,,,,,,,,,,,,,,,
Rennie Auto Repair,,,,,,,,,,,,,,,,,,,
Restrick Auto Repair,,,,,,,,,,,,,,,,,,,
Roadnight Auto Repair,,,,,,,,,,,,,,,,,,,
Rodman Auto Repair,,,,,,,,,,,,,,,,,,,
Rosenhagen Auto Repair,,,,,,,,,,,,,,,,,,,
Rugg Auto Repair,,,,,,,,,,,,,,,,,,,
Rundle Auto Repair,,,,,,,,,,,,,,,,,,,
Scarman Auto Repair,,,,,,,,,,,,,,,,,,,
Schandua Auto Repair,,,,,,,,,,,,,,,,,,,
Sears Auto Repair,,,,,,,,,,,,,,,,,,,
Sedgbeer Auto Repair,,,,,,,,,,,,,,,,,,,
Seear Auto Repair,,,,,,,,,,,,,,,,,,,
Shakelton Auto Repair,,,,,,,,,,,,,,,,,,,
Shepherd Auto Repair,,,,,,,,,,,,,,,,,,,
Silcock Auto Repair,,,,,,,,,,,,,,,,,,,
Sinkins Auto Repair,,,,,,,,,,,,,,,,,,,
Snell Auto Repair,,,,,,,,,,,,,,,,,,,
Sowth Auto Repair,,,,,,,,,,,,,,,,,,,
Spirrell Auto Repair,,,,,,,,,,,,,,,,,,,
Statham Auto Repair,,,,,,,,,,,,,,,,,,,
Stedham Auto Repair,,,,,,,,,,,,,,,,,,,
Stewart Auto Repair,,,,,,,,,,,,,,,,,,,
Stockwell Auto Repair,,,,,,,,,,,,,,,,,,,
Surmon Auto Repair,,,,,,,,,,,,,,,,,,,
Swallow Auto Repair,,,,,,,,,,,,,,,,,,,
Syms Auto Repair,,,,,,,,,,,,,,,,,,,
Takle Auto Repair,,,,,,,,,,,,,,,,,,,
Tanner Auto Repair,,,,,,,,,,,,,,,,,,,
Tar Auto Repair,,,,,,,,,,,,,,,,,,,
Templeman Auto Repair,,,,,,,,,,,,,,,,,,,
Tennant Auto Repair,,,,,,,,,,,,,,,,,,,
The Communist Marine Corps,,,,,,,,,,,,,,,,,,,
Toomer Auto Repair,,,,,,,,,,,,,,,,,,,
Tozer Auto Repair,,,,,,,,,,,,,,,,,,,
Triggs Auto Repair,,,,,,,,,,,,,,,,,,,
Tufton Auto Repair,,,,,,,,,,,,,,,,,,,
Tyson Auto Repair,,,,,,,,,,,,,,,,,,,
Upham Auto Repair,,,,,,,,,,,,,,,,,,,
Urban Guerillas/Fuel Coop,,,,,,,,,,,,,,,,,,,
Vimpany Auto Repair,,,,,,,,,,,,,,,,,,,
Vines Auto Repair,,,,,,,,,,,,,,,,,,,
Voke Auto Repair,,,,,,,,,,,,,,,,,,,
Wain Auto Repair,,,,,,,,,,,,,,,,,,,
Waller Auto Repair,,,,,,,,,,,,,,,,,,,
Warren Auto Repair,,,,,,,,,,,,,,,,,,,
Wasson Auto Repair,,,,,,,,,,,,,,,,,,,
Weaver Auto Repair,,,,,,,,,,,,,,,,,,,
Wedderburn Auto Repair,,,,,,,,,,,,,,,,,,,
Weeks Auto Repair,,,,,,,,,,,,,,,,,,,
Wheddon Auto Repair,,,,,,,,,,,,,,,,,,,
Wheelhouse Auto Repair,,,,,,,,,,,,,,,,,,,
Whensley Auto Repair,,,,,,,,,,,,,,,,,,,
Whetcombe Auto Repair,,,,,,,,,,,,,,,,,,,
Whitemore Auto Repair,,,,,,,,,,,,,,,,,,,
Willy Auto Repair,,,,,,,,,,,,,,,,,,,
Witherington Auto Repair,,,,,,,,,,,,,,,,,,,
Woolf Auto Repair,,,,,,,,,,,,,,,,,,,
Wyndham Auto Repair,,,,,,,,,,,,,,,,,,,
